result	id	features	stage	detail
PASS	builtins/make-map-hint-eval/uint8-var	maps,make	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/untyped-const	maps,make,constants	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/typed-const	maps,make,constants	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/eval-order-with-neighbors	maps,make,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/eval-order-in-expression	maps,make,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-len-over-byte	slices,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-len-over-const	slices,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-len-over-int64	slices,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-len-over-padded-struct	slices,make,panic,structs	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-cap-over-byte	slices,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/slice-len-and-cap-over	slices,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/chan-size-over-byte	channels,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/chan-size-header-boundary	channels,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/chan-size-over-int64	channels,make,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/chan-zero-size-elem-huge	channels,make,cap	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/map-hint-over	maps,make	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/map-hint-negative	maps,make	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/map-hint-eval-order	maps,make,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/recover-slice-len-over	slices,make,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-maxalloc/recover-chan-size-over	channels,make,panic,recover,defer	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/one-arg	builtins,min,max,ints	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/eval-order	builtins,min,max,evaluation_order,calls,ints	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/defined-int	builtins,min,max,typed,ints	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/defined-string	builtins,min,max,typed,strings	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/untyped-float-context	builtins,min,max,untyped,floats,conversions	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/generic-ints	builtins,min,max,generics,type_sets,ints	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/generic-strings	builtins,min,max,generics,type_sets,strings	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-edge/expressions	builtins,min,max,ints	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-ints	min,max,ints,comparisons	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-strings	min,max,strings,comparisons	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-vs-call-order/min-value	builtins,min,max,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-vs-call-order/max-value	builtins,min,max,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-vs-call-order/min-arg-panic	builtins,min,max,evaluation_order,calls,panic,recover	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-vs-call-order/append-arg-panic	builtins,append,evaluation_order,calls,panic,recover	-	wide=0 exhausted=none depth=fixed
PASS	builtins/min-max-vs-call-order/call-in-builtin-arg	builtins,min,max,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
