result	id	features	stage	detail
PASS	spec-examples/const-shift-typed-float	constants,shifts,floats,compile_error	-	-
PASS	spec-examples/constraint-overlapping-terms	interfaces,generics,constraints,type_sets,compile_error	-	-
PASS	spec-examples/constraint-term-type-parameter	interfaces,generics,constraints,type_sets,compile_error	-	-
PASS	spec-examples/constraint-union-tilde-type-parameter	interfaces,generics,constraints,type_sets,compile_error	-	-
PASS	spec-examples/embedded-method-signature-conflict	interfaces,embedding,methods,compile_error	-	-
PASS	spec-examples/empty-type-arg-list	generics,compile_error	-	-
PASS	spec-examples/float-lit-hex-e-exponent	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-hex-no-mantissa-digits	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-p-exponent-decimal	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-trailing-underscore	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-underscore-after-dot	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-underscore-after-e	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-underscore-before-dot	floats,literals,compile_error	-	-
PASS	spec-examples/float-lit-underscore-before-e	floats,literals,compile_error	-	-
PASS	spec-examples/generic-alias-own-type-param	aliases,generics,compile_error	-	-
PASS	spec-examples/generic-func-no-instantiation	generics,functions,inference,compile_error	-	-
PASS	spec-examples/goto-into-block	control_flow,scoping,compile_error	-	-
PASS	spec-examples/goto-over-declaration	control_flow,scoping,compile_error	-	-
PASS	spec-examples/imag-arg-shift	complex,imag,shifts,builtins,compile_error	-	-
PASS	spec-examples/impossible-type-assertion	type_assertions,interfaces,compile_error	-	-
PASS	spec-examples/int-lit-double-underscore	ints,literals,compile_error	-	-
PASS	spec-examples/int-lit-trailing-underscore	ints,literals,compile_error	-	-
PASS	spec-examples/int-lit-underscore-in-prefix	ints,literals,compile_error	-	-
PASS	spec-examples/interface-blank-method-name	interfaces,methods,compile_error	-	-
PASS	spec-examples/interface-duplicate-method	interfaces,methods,compile_error	-	-
PASS	spec-examples/interface-embed-array-self	interfaces,embedding,arrays,compile_error	-	-
PASS	spec-examples/interface-embed-mutual	interfaces,embedding,compile_error	-	-
PASS	spec-examples/interface-embed-self	interfaces,embedding,compile_error	-	-
PASS	spec-examples/interface-embed-union-self	interfaces,embedding,type_sets,compile_error	-	-
PASS	spec-examples/make-len-exceeds-cap	make,slices,builtins,compile_error	-	-
PASS	spec-examples/make-len-not-representable	make,slices,builtins,overflow,compile_error	-	-
PASS	spec-examples/method-recv-alias-instantiated-ptr	methods,aliases,generics,pointers,compile_error	-	-
PASS	spec-examples/method-recv-alias-instantiated	methods,aliases,generics,compile_error	-	-
PASS	spec-examples/method-recv-generic-alias	methods,aliases,generics,compile_error	-	-
PASS	spec-examples/method-value-unaddressable-recv	methods,addressability,pointers,compile_error	-	-
PASS	spec-examples/min-slice-spread	min,builtins,variadic,slices,compile_error	-	-
PASS	spec-examples/missing-return-terminating-stmt	functions,returns,control_flow,compile_error	-	-
PASS	spec-examples/nonbasic-interface-conversion	interfaces,generics,constraints,conversions,compile_error	-	-
PASS	spec-examples/nonbasic-interface-struct-field	interfaces,generics,constraints,structs,fields,compile_error	-	-
PASS	spec-examples/nonbasic-interface-variable	interfaces,generics,constraints,compile_error	-	-
PASS	spec-examples/range-float-constant	range,loops,floats,untyped,compile_error	-	-
PASS	spec-examples/range-int-overflows-uint8	range,loops,ints,overflow,compile_error	-	-
PASS	spec-examples/rune-lit-code-point-too-large	runes,literals,unicode,compile_error	-	-
PASS	spec-examples/rune-lit-hex-too-few-digits	runes,literals,compile_error	-	-
PASS	spec-examples/rune-lit-octal-over-255	runes,literals,compile_error	-	-
PASS	spec-examples/rune-lit-octal-too-few-digits	runes,literals,compile_error	-	-
PASS	spec-examples/rune-lit-surrogate-half	runes,literals,unicode,compile_error	-	-
PASS	spec-examples/rune-lit-too-many-chars	runes,literals,compile_error	-	-
PASS	spec-examples/rune-lit-unknown-escape	runes,literals,compile_error	-	-
PASS	spec-examples/selector-no-pointer-promotion	methods,pointers,compile_error	-	-
PASS	spec-examples/shift-float32-var	shifts,untyped,floats,compile_error	-	-
PASS	spec-examples/shift-int-float-context	shifts,untyped,floats,comparisons,compile_error	-	-
PASS	spec-examples/shift-string-conversion	shifts,untyped,strings,conversions,compile_error	-	-
PASS	spec-examples/shift-untyped-float-compare	shifts,untyped,floats,comparisons,compile_error	-	-
PASS	spec-examples/shift-untyped-float-var	shifts,untyped,floats,compile_error	-	-
PASS	spec-examples/short-decl-repeated-ident	short_decl,scoping,compile_error	-	-
PASS	spec-examples/string-lit-code-point-too-large	strings,literals,unicode,compile_error	-	-
PASS	spec-examples/string-lit-surrogate-half	strings,literals,unicode,compile_error	-	-
PASS	spec-examples/struct-type-array-cycle	structs,arrays,compile_error	-	-
PASS	spec-examples/struct-type-mutual-cycle	structs,arrays,embedding,compile_error	-	-
PASS	spec-examples/struct-type-self-embed	structs,embedding,compile_error	-	-
PASS	spec-examples/tilde-defined-type	interfaces,generics,constraints,type_sets,compile_error	-	-
PASS	spec-examples/tilde-interface	interfaces,generics,constraints,type_sets,compile_error	-	-
PASS	spec-examples/tilde-outside-type-param-list	generics,constraints,compile_error	-	-
PASS	spec-examples/typedef-enclosing-type-param	generics,defined_type,compile_error	-	-
PASS	spec-examples/typedef-own-type-param	generics,defined_type,compile_error	-	-
PASS	spec-examples/var-init-untyped-nil	nil,untyped,compile_error	-	-
PASS	strings/cap-string	strings,cap,compile_error	-	-
PASS	strings/compare-string-bytes	strings,bytes,comparability,compile_error	-	-
PASS	strings/hex-escape-too-short	strings,literals,escapes,compile_error	-	-
PASS	strings/int-slice-to-string	strings,conversions,slices,compile_error	-	-
PASS	strings/interpreted-string-newline	strings,literals,compile_error	-	-
PASS	strings/invalid-string-escape	strings,literals,escapes,compile_error	-	-
PASS	strings/octal-escape-overflow	strings,literals,escapes,compile_error	-	-
PASS	strings/raw-string-backquote	strings,literals,escapes,compile_error	-	-
PASS	strings/rune-literal-too-long	strings,runes,literals,compile_error	-	-
PASS	strings/string-index-assign	strings,indexing,assignment,compile_error	-	-
PASS	strings/string-index-float	strings,indexing,compile_error	-	-
PASS	strings/string-index-two-values	strings,indexing,assignment,compile_error	-	-
PASS	strings/string-negative-index	strings,indexing,compile_error	-	-
PASS	strings/string-slice-assign	strings,slicing,assignment,compile_error	-	-
PASS	strings/string-to-int-slice	strings,conversions,slices,compile_error	-	-
PASS	strings/string-to-int	strings,conversions,compile_error	-	-
PASS	strings/surrogate-rune-escape	strings,runes,literals,escapes,compile_error	-	-
PASS	structs/ambiguous-promoted-field	structs,fields,embedding,compile_error	-	-
PASS	structs/blank-field-selector	structs,fields,compile_error	-	-
PASS	structs/duplicate-field	structs,fields,compile_error	-	-
PASS	structs/duplicate-literal-field	structs,fields,literals,compile_error	-	-
