bools/short-circuit-funclit/e6-recv-len-in-sc	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__e6-recv-len-in-sc.json	e6RecvLenInSC	1,3	default;default;default;default;default;default
bools/short-circuit-funclit/e6-recv-len-outside	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__e6-recv-len-outside.json	e6RecvLenOutside	3	default;default;default;default;default;default
bools/short-circuit-funclit/admit-new	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-new.json	admitNewInSC	1,4	default;default;default;default;default;default
bools/short-circuit-funclit/admit-new-short	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-new-short.json	admitNewInSC	0,4	default;default;default;default;default;default
bools/short-circuit-funclit/admit-copy	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-copy.json	admitCopyInSC	0,5	default;default;default;default;default;default
bools/short-circuit-funclit/admit-copy-short	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-copy-short.json	admitCopyInSC	1,5	default;default;default;default;default;default
bools/short-circuit-funclit/admit-maplit	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-maplit.json	admitMapLitInSC	1,7	default;default;default;default;default;default
bools/short-circuit-funclit/admit-maplit-short	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-maplit-short.json	admitMapLitInSC	0,7	default;default;default;default;default;default
bools/short-circuit-funclit/admit-splat-in-lit	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-splat-in-lit.json	admitSplatInLitInSC	1,2	default;default;default;default;default;default
bools/short-circuit-funclit/admit-splat-in-lit-short	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-splat-in-lit-short.json	admitSplatInLitInSC	0,2	default;default;default;default;default;default
bools/short-circuit-funclit/admit-elided-in-lit	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-elided-in-lit.json	admitElidedInLitInSC	1,2	default;default;default;default;default;default
bools/short-circuit-funclit/admit-elided-in-lit-short	artifacts/choice-trace-before/wire/bools__short-circuit-funclit__admit-elided-in-lit-short.json	admitElidedInLitInSC	0,2	default;default;default;default;default;default
bools/short-circuit-or	artifacts/choice-trace-before/wire/bools__short-circuit-or.json	boolShortCircuitOr	-	default;default;default;default;default;default
bools/zero-value	artifacts/choice-trace-before/wire/bools__zero-value.json	boolZeroValue	-	default;default;default;default;default;default
builtins/append-defined-byte-slice-string	artifacts/choice-trace-before/wire/builtins__append-defined-byte-slice-string.json	builtinAppendDefinedByteSliceString	-	default;9;1;5;47062;45548
builtins/append-string-to-bytes	artifacts/choice-trace-before/wire/builtins__append-string-to-bytes.json	builtinAppendStringToBytes	-	default;9;1;5;47062;45548
builtins/clear-delete-edge/clear-nil-map	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-nil-map.json	builtinClearNilMap	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-nil-slice	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-nil-slice.json	builtinClearNilSlice	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-defined-map	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-defined-map.json	builtinClearDefinedMap	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-defined-slice	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-defined-slice.json	builtinClearDefinedSlice	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-slice-alias-visible	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-slice-alias-visible.json	builtinClearSliceAliasVisible	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-array-slice	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-array-slice.json	builtinClearArraySlice	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-eval-order	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-eval-order.json	builtinClearEvalOrder	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-generic-slice	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-generic-slice.json	builtinClearGenericSliceSubject	-	default;default;default;default;default;default
builtins/clear-delete-edge/clear-generic-map	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__clear-generic-map.json	builtinClearGenericMapSubject	-	default;default;default;default;default;default
builtins/clear-delete-edge/delete-defined-map	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__delete-defined-map.json	builtinDeleteDefinedMap	-	default;default;default;default;default;default
builtins/clear-delete-edge/delete-generic-map	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__delete-generic-map.json	builtinDeleteGenericMapSubject	-	default;default;default;default;default;default
builtins/clear-delete-edge/delete-nil-map-evaluates-key	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__delete-nil-map-evaluates-key.json	builtinDeleteNilMapEvaluatesKey	-	default;default;default;default;default;default
builtins/clear-delete-edge/delete-map-expr-panic-before-key	artifacts/choice-trace-before/wire/builtins__clear-delete-edge__delete-map-expr-panic-before-key.json	builtinDeleteMapExprPanicBeforeKey	-	default;default;default;default;default;default
builtins/clear-map	artifacts/choice-trace-before/wire/builtins__clear-map.json	builtinClearMap	-	default;default;default;default;default;default
builtins/clear-slice	artifacts/choice-trace-before/wire/builtins__clear-slice.json	builtinClearSlice	-	default;default;default;default;default;default
builtins/copy-edge/eval-order	artifacts/choice-trace-before/wire/builtins__copy-edge__eval-order.json	builtinCopyEvalOrder	-	default;default;default;default;default;default
builtins/copy-edge/defined-slices	artifacts/choice-trace-before/wire/builtins__copy-edge__defined-slices.json	builtinCopyDefinedSlices	-	default;default;default;default;default;default
builtins/copy-edge/defined-byte-string	artifacts/choice-trace-before/wire/builtins__copy-edge__defined-byte-string.json	builtinCopyDefinedByteString	-	default;default;default;default;default;default
builtins/copy-edge/empty-string-to-bytes	artifacts/choice-trace-before/wire/builtins__copy-edge__empty-string-to-bytes.json	builtinCopyEmptyStringToBytes	-	default;default;default;default;default;default
builtins/copy-edge/nil-source	artifacts/choice-trace-before/wire/builtins__copy-edge__nil-source.json	builtinCopyNilSource	-	default;default;default;default;default;default
builtins/copy-edge/nil-destination	artifacts/choice-trace-before/wire/builtins__copy-edge__nil-destination.json	builtinCopyNilDestination	-	default;default;default;default;default;default
builtins/copy-edge/forward-overlap	artifacts/choice-trace-before/wire/builtins__copy-edge__forward-overlap.json	builtinCopyForwardOverlap	-	default;default;default;default;default;default
builtins/copy-edge/array-slice	artifacts/choice-trace-before/wire/builtins__copy-edge__array-slice.json	builtinCopyArraySlice	-	default;default;default;default;default;default
builtins/copy-edge/string-prefix	artifacts/choice-trace-before/wire/builtins__copy-edge__string-prefix.json	builtinCopyStringPrefix	-	default;default;default;default;default;default
builtins/copy-edge/generic-slices	artifacts/choice-trace-before/wire/builtins__copy-edge__generic-slices.json	builtinCopyGenericSubject	-	default;default;default;default;default;default
builtins/copy-string-to-bytes	artifacts/choice-trace-before/wire/builtins__copy-string-to-bytes.json	builtinCopyStringToBytes	-	default;default;default;default;default;default
builtins/len-cap-array-pointer	artifacts/choice-trace-before/wire/builtins__len-cap-array-pointer.json	builtinLenCapArrayPointer	-	default;default;default;default;default;default
builtins/len-vs-call-order/chan	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__chan.json	lenVsCallChan	-	default;default;default;default;default;default
builtins/len-vs-call-order/slice	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__slice.json	lenVsCallSlice	-	default;9;1;5;47062;45548
builtins/len-vs-call-order/recv-bearing	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__recv-bearing.json	lenVsCallRecvBearing	-	default;default;default;default;default;default
builtins/len-vs-call-order/short-circuit	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__short-circuit.json	lenVsCallShortCircuit	1	default;default;default;default;default;default
builtins/len-vs-call-order/short-circuit-skipped	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__short-circuit-skipped.json	lenVsCallShortCircuit	0	default;default;default;default;default;default
builtins/len-vs-call-order/panicky-before-call	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__panicky-before-call.json	lenPanickyBeforeCall	3	default;default;default;default;default;default
builtins/len-vs-call-order/panicky-between	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__panicky-between.json	lenPanickyBetween	2	default;default;default;default;default;default
builtins/len-vs-call-order/hint-panicky-between	artifacts/choice-trace-before/wire/builtins__len-vs-call-order__hint-panicky-between.json	hintPanickyBetween	-	default;default;default;default;default;default
builtins/make-channel-len-cap	artifacts/choice-trace-before/wire/builtins__make-channel-len-cap.json	builtinMakeChannelLenCap	-	default;default;default;default;default;default
builtins/make-map-hint	artifacts/choice-trace-before/wire/builtins__make-map-hint.json	builtinMakeMapHint	-	default;default;default;default;default;default
builtins/make-map-hint-eval/panic-map-never-created	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__panic-map-never-created.json	mapHintPanicMapNeverCreated	-	default;default;default;default;default;default
builtins/make-map-hint-eval/panic-uncaught	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__panic-uncaught.json	mapHintPanicUncaught	-	default;default;default;default;default;default
builtins/make-map-hint-eval/index-panic-map-never-created	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__index-panic-map-never-created.json	mapHintIndexPanicMapNeverCreated	-	default;default;default;default;default;default
builtins/make-map-hint-eval/index-panic-uncaught	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__index-panic-uncaught.json	mapHintIndexPanicUncaught	-	default;default;default;default;default;default
builtins/make-map-hint-eval/evaluated-once	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__evaluated-once.json	mapHintEvaluatedOnce	-	default;default;default;default;default;default
builtins/make-map-hint-eval/negative-from-call	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__negative-from-call.json	mapHintNegativeFromCall	-	default;default;default;default;default;default
builtins/make-map-hint-eval/zero	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__zero.json	mapHintZero	-	default;default;default;default;default;default
builtins/make-map-hint-eval/named-int-type	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__named-int-type.json	mapHintNamedIntType	-	default;default;default;default;default;default
builtins/make-map-hint-eval/uint8-var	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__uint8-var.json	mapHintUint8Var	-	default;default;default;default;default;default
builtins/make-map-hint-eval/untyped-const	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__untyped-const.json	mapHintUntypedConst	-	default;default;default;default;default;default
builtins/make-map-hint-eval/typed-const	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__typed-const.json	mapHintTypedConst	-	default;default;default;default;default;default
builtins/make-map-hint-eval/eval-order-with-neighbors	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__eval-order-with-neighbors.json	mapHintEvalOrderWithNeighbors	-	default;default;default;default;default;default
builtins/make-map-hint-eval/eval-order-in-expression	artifacts/choice-trace-before/wire/builtins__make-map-hint-eval__eval-order-in-expression.json	mapHintInExpression	-	default;default;default;default;default;default
builtins/make-maxalloc/slice-len-over-byte	artifacts/choice-trace-before/wire/builtins__make-maxalloc__slice-len-over-byte.json	makeMaxAllocSliceLenOverByte	-	default;default;default;default;default;default
