# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input. (lowerdiag wire: per-declaration classification of the wire's quarantine stubs)
pkg	kind	name	status	cause	class	key
raft	func	raft.DescribeConfState$fmtc6	lowered	-	-	-
raft	func	raft.DescribeConfState$fmt8	lowered	-	-	-
raft	func	raft.DescribeConfState	lowered	-	-	-
raft	func	raft.DescribeSnapshot$fmt0	lowered	-	-	-
raft	func	raft.DescribeSnapshot	lowered	-	-	-
raft	func	raft.DescribeReady$fmt0	lowered	-	-	-
raft	func	raft.DescribeReady$fmtsl3	lowered	-	-	-
raft	func	raft.DescribeReady$fmtsl2	lowered	-	-	-
raft	func	raft.DescribeReady$fmtc1	lowered	-	-	-
raft	func	raft.DescribeReady$fmt4	lowered	-	-	-
raft	func	raft.DescribeReady$fmt5	lowered	-	-	-
raft	func	raft.DescribeReady$fmt6	lowered	-	-	-
raft	func	raft.DescribeReady	lowered	-	-	-
raft	func	raft.DescribeMessage	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt0	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt1	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt2	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt3	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt4	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt5	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt6	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt7	lowered	-	-	-
raft	func	raft.describeMessageWithIndent$fmt8	lowered	-	-	-
raft	func	raft.describeMessageWithIndent	lowered	-	-	-
raft	func	raft.describeTarget$fmt0	lowered	-	-	-
raft	func	raft.describeTarget	lowered	-	-	-
raft	func	raft.DescribeEntry$fmt1	lowered	-	-	-
raft	func	raft.DescribeEntry$lit0	lowered	-	-	-
raft	func	raft.DescribeEntry$lit2	lowered	-	-	-
raft	func	raft.DescribeEntry$fmt3	lowered	-	-	-
raft	func	raft.DescribeEntry	lowered	-	-	-
raft	func	raft.DescribeConfChange$fmt0	lowered	-	-	-
raft	func	raft.DescribeConfChange$fmt1	lowered	-	-	-
raft	func	raft.DescribeConfChange$fmt2	lowered	-	-	-
raft	func	raft.DescribeConfChange	lowered	-	-	-
raft	func	raft.DescribeEntries	lowered	-	-	-
raft	func	raft.entsSize	lowered	-	-	-
raft	func	raft.limitSize	lowered	-	-	-
raft	func	raft.payloadSize	lowered	-	-	-
raft	func	raft.payloadsSize	lowered	-	-	-
raft	func	raft.assertConfStatesEquivalent	lowered	-	-	-
raft	func	raft.extend	lowered	-	-	-
raft	func	raft.goleanShimErrorsNew	lowered	-	-	-
